date,year,month,ndvi,rainfall
2014-01,2014,1,0.2473090105701191,0.23219532487418026
2014-02,2014,2,0.22624994813467694,0.10686275783612688
2014-03,2014,3,0.2225530898096442,5.199830907031045
2014-04,2014,4,0.23854560315887707,33.81498524191446
2014-05,2014,5,0.28897460069228664,80.00021785943333
2014-06,2014,6,0.3467521418823585,92.99428534477715
2014-07,2014,7,0.40269705817692925,157.53774679105362
2014-08,2014,8,0.5015384113164365,231.75008605574945
2014-09,2014,9,0.5006857105450578,163.10319839422596
2014-10,2014,10,0.4484317619429685,20.835322177346328
2014-11,2014,11,0.34835959132922323,0.7945768157097804
2014-12,2014,12,0.2738745993678629,0.01064303508092856
2015-01,2015,1,0.2348507135631547,0.007343775491363864
2015-02,2015,2,0.2179838632040091,0.43196845616272944
2015-03,2015,3,0.21001440791578307,4.81294924324079
2015-04,2015,4,0.215755703338628,4.030841769672391
2015-05,2015,5,0.2320489235019294,39.677899907118515
2015-06,2015,6,0.2950295988683947,75.67157568502911
2015-07,2015,7,0.38794830907364763,166.14535223797193
2015-08,2015,8,0.49093433359302197,278.0363174120261
2015-09,2015,9,0.5049265923018174,160.6725563731228
2015-10,2015,10,0.4543799528603613,35.2064228212028
2015-11,2015,11,0.344540032000954,0.09630930929166275
2015-12,2015,12,0.25877363172884893,0.0732826596514269
2016-01,2016,1,0.2359202661203635,0.03171248864835143
2016-02,2016,2,0.21872171330962545,0.061423568520894756
2016-03,2016,3,0.215675942648461,3.3922464115055866
2016-04,2016,4,0.2357000389922389,32.56874223147064
2016-05,2016,5,0.2584669125342276,83.46656074781113
2016-06,2016,6,0.33057383127769663,118.4718590061463
2016-07,2016,7,0.42451304653959504,178.83946556093503
2016-08,2016,8,0.5095466829800933,210.71850872242598
2016-09,2016,9,0.5173575031150444,149.6158503680175
2016-10,2016,10,0.40078708945051106,21.40934426792126
2016-11,2016,11,0.3124798470066789,0.266468929390056
2016-12,2016,12,0.27409721114839974,0.06259117660522262
2017-01,2017,1,0.24155902985822228,0.029132975019545062
2017-02,2017,2,0.22202690656806998,0.06761629418219353
2017-03,2017,3,0.21088036615758163,0.8723876100506639
2017-04,2017,4,0.21498943126693046,7.8720889879951415
2017-05,2017,5,0.26050164131402476,58.717555710891155
2017-06,2017,6,0.3615733704493274,125.60752822586925
2017-07,2017,7,0.46381759857245103,177.1548942364368
2017-08,2017,8,0.52614245635788,227.0820221145829
2017-09,2017,9,0.49308450863645314,134.3929638046714
2017-10,2017,10,0.41147167247837807,15.021478886145154
2017-11,2017,11,0.3243976536740763,0.016650910896780363
2017-12,2017,12,0.26165864789656496,0.1125810616355106
2018-01,2018,1,0.23058889833102336,0.04727841767280202
2018-02,2018,2,0.2235727566555142,0.6892648816589759
2018-03,2018,3,0.21607591396979423,3.177006535241832
2018-04,2018,4,0.22090088475347072,15.637392055503161
2018-05,2018,5,0.2528055070430303,68.38670109832351
2018-06,2018,6,0.3243713962580543,123.96078663333714
2018-07,2018,7,0.4439916262294802,192.31989416217502
2018-08,2018,8,0.4948197058685577,280.1378750989204
2018-09,2018,9,0.5214324419388333,179.8008035818615
2018-10,2018,10,0.4643380720749737,62.184788096632246
2018-11,2018,11,0.36296182068314564,0.5771689565388053
2018-12,2018,12,0.2758672172582512,0.07578507707386647
2019-01,2019,1,0.2530062915906702,0.022431294352992952
2019-02,2019,2,0.23447678794468357,0.31708558542055126
2019-03,2019,3,0.2226023449100595,1.8424357059187553
2019-04,2019,4,0.2256203016421647,12.242342199619701
2019-05,2019,5,0.2668351666284019,104.11757775800255
2019-06,2019,6,0.3630553794307619,100.4818066138811
2019-07,2019,7,0.42935551476851436,182.39613381324665
2019-08,2019,8,0.4788656346240948,245.47715875347623
2019-09,2019,9,0.5101003538712549,162.5463594603105
2019-10,2019,10,0.49811490604842457,76.79382244592823
2019-11,2019,11,0.42139503767437564,0.3693494868145729
2019-12,2019,12,0.3087133512751153,0.09463436451961786
2020-01,2020,1,0.24857340618307305,0.011608166072169954
2020-02,2020,2,0.22719457238864993,0.025867752726966488
2020-03,2020,3,0.2239638368557437,3.3116919822337487
2020-04,2020,4,0.23407183484679503,21.09430709404228
2020-05,2020,5,0.2647608825936639,59.357228374621464
2020-06,2020,6,0.33339520600928,110.51026640336714
2020-07,2020,7,0.40630906734157923,260.6036262014639
2020-08,2020,8,0.5051534697896011,289.03554846226984
2020-09,2020,9,0.5264050671305509,208.82975215240413
2020-10,2020,10,0.4428119891929459,40.68546467358131
2020-11,2020,11,0.3427340169874381,0.4027851095196401
2020-12,2020,12,0.2963108521880844,0.0043241498963063184
2021-01,2021,1,0.2602068336268178,0.002296974466573854
2021-02,2021,2,0.2331579727153283,0.005368374819093452
2021-03,2021,3,0.22340253381312838,3.7537198482814094
2021-04,2021,4,0.23221784779143234,8.807990911274699
2021-05,2021,5,0.2612188736181225,51.365101610029896
2021-06,2021,6,0.3163898229493278,92.4503361254677
2021-07,2021,7,0.3812289794859214,177.9702556598691
2021-08,2021,8,0.5191853259779341,256.79791449518456
2021-09,2021,9,0.5240355399365462,163.52611232939844
2021-10,2021,10,0.4372136615311111,41.545696176595335
2021-11,2021,11,0.36058327332338064,0.8582147849534418
2021-12,2021,12,0.27468057002562407,0.0024764900970866235
2022-01,2022,1,0.247890312685719,0.0015798783239567016
2022-02,2022,2,0.22287688143904816,0.0027491292197051294
2022-03,2022,3,0.2046058962630616,2.7926353578583942
2022-04,2022,4,0.22825168390174944,24.443478623621644
2022-05,2022,5,0.2602012478729268,41.124608394547764
2022-06,2022,6,0.32086506256399117,102.39153880903122
2022-07,2022,7,0.4131316339690432,186.8623214086777
2022-08,2022,8,0.48450261079846685,247.1167561138756
2022-09,2022,9,0.527107282976946,218.28903587847813
2022-10,2022,10,0.4327377762068926,44.05317587996994
2022-11,2022,11,0.3615633088908894,0.39165515508755117
2022-12,2022,12,0.28234514255449233,0.11347735275602626
2023-01,2023,1,0.251821844449677,0.02994344052409823
2023-02,2023,2,0.23299504237907184,0.10503625631840573
2023-03,2023,3,0.23221681699041707,4.506770917804339
2023-04,2023,4,0.2383173109057029,16.491720103817023
2023-05,2023,5,0.2591656619238124,62.33999384614835
2023-06,2023,6,0.35443908881573105,119.66378339498188
2023-07,2023,7,0.4518570749466522,218.89545094315324
2023-08,2023,8,0.542134956244896,254.34150645946218
2023-09,2023,9,0.5365740486373014,182.5954349585463
2023-10,2023,10,0.4666779120381311,29.947442743093657
2023-11,2023,11,0.3462176752679215,0.7105054502905132
2023-12,2023,12,0.2816921763355919,0.008973640973535004
